id,text,mood,scene,style,purpose,theme,relation,length,tone_level,format,content_rating,keywords,tag_version,qc_passed,qc_errors,qc_warnings
11,期末考试啦~老自不挂科老己不挂科 老子也不挂科 我不挂科 俺不挂科 额不挂科 吾不挂科 余不挂科 偶不挂科 在下不挂科 小生不挂科 本人不挂科 寡人不挂科  鄙人不挂科 最后再自罚不挂科,mood_humor,scene_study,style_emoji_heavy,purpose_complain,theme_work_life,relation_none,length_long,5,,rating_clean,期末考试|不挂科,v1.0,True,,id=11: 标了 style_emoji_heavy 但文本无明显 emoji
12,大二这一年借着深大大二title,mood_reflective,scene_study,style_colloquial,purpose_share_life,theme_growth,relation_none,length_short,2,format_has_english,rating_clean,大二|深大,v1.0,True,,
13,分享了很多苯人其实很无聊的生活,mood_reflective,scene_study,style_colloquial,purpose_share_life,,relation_none,length_ultra_short,2,,rating_clean,生活,v1.0,True,,
14,起初只是当作一处分享的地方hhh,mood_peaceful,scene_study,style_colloquial,purpose_share_life,,relation_none,length_short,2,format_has_english,rating_clean,分享,v1.0,True,,
15,(朋友圈好多老师同学亲戚。眉头紧皱,mood_humor,scene_study,style_colloquial,purpose_complain,,relation_none,length_short,3,,rating_clean,朋友圈|老师|同学|亲戚,v1.0,True,,
16,哎哟但素渐渐认识了好多可爱的朋友们,mood_happy,scene_study,style_colloquial,purpose_share_life,theme_friendship,relation_friend,length_short,3,,rating_clean,朋友,v1.0,True,,
17,谢谢你们(ToT)/~~~,mood_healing,scene_study,style_emoji_heavy,purpose_share_life,theme_friendship,relation_friend,length_ultra_short,3,format_has_english,rating_clean,谢谢,v1.0,True,,id=17: 标了 style_emoji_heavy 但文本无明显 emoji
18,假期愉快👩🏻❤️💋👩🏻,mood_happy,scene_holiday,style_emoji_heavy,purpose_share_life,theme_happiness,relation_none,length_ultra_short,3,format_has_emoji|format_has_location,rating_clean,假期,v1.0,True,,
19,"🖇🧾- To do list
📋 “学习经验值+1”",mood_energetic,scene_study,style_symbol_deco,purpose_share_life,theme_work_life,relation_none,length_short,3,format_has_emoji|format_has_english|format_has_quotes,rating_clean,学习|经验值,v1.0,True,,
20,Bookstore 📖“找不着北就多看点东西”,mood_literary,scene_study,style_quote,purpose_share_life,theme_work_life,relation_none,length_short,2,format_has_emoji|format_has_english|format_has_quotes,rating_clean,书店|书,v1.0,True,,
21,“死去的学习记忆为什么不攻击我”,mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_quotes,rating_clean,学习|记忆,v1.0,True,,
22,"📚Learning🙇♀️...
“勿扰,学习中📑”",mood_energetic,scene_study,style_emoji_heavy,purpose_share_life,theme_work_life,relation_none,length_short,3,format_has_emoji|format_has_english|format_has_quotes,rating_clean,学习,v1.0,True,,
23,🤯学到脑壳都要炸了💣 ˎˊ˗,mood_humor,scene_study,style_emoji_heavy,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_emoji,rating_clean,学习|脑壳,v1.0,True,,
24,上课为什么不能开二倍速// ☹,mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_emoji,rating_clean,上课,v1.0,True,,
25,地球npc的在校生活🌎,mood_humor,scene_study,style_abstract,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji|format_has_english,rating_clean,地球|npc|在校,v1.0,True,,
26,假期摆烂...over🙅,mood_humor,scene_holiday,style_emoji_heavy,purpose_share_life,,relation_none,length_ultra_short,3,format_has_emoji|format_has_english|format_has_location,rating_clean,假期|摆烂,v1.0,True,,
27,"“忍忍吧,考完就放假了”",mood_energetic,scene_study,style_quote,purpose_heal_self,theme_work_life,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,考试|放假,v1.0,True,,
28,⏰lllll早C晚A突然攻击我,mood_humor,scene_study,style_emoji_heavy,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_english,rating_clean,早C晚A,v1.0,True,,id=28: 标了 style_emoji_heavy 但文本无明显 emoji
29,“打工之后就没寒暑假了”,mood_reflective,scene_work,style_quote,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,打工|寒暑假,v1.0,True,,
30,📖•ᴗ•💧机智的期末生活,mood_humor,scene_study,style_emoji_heavy,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,期末,v1.0,True,,
31,“期末周”,mood_emo,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,期末周,v1.0,True,,
32,“真正的大学生敢于直面崭新的课本”,mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_quotes,rating_clean,大学生|课本,v1.0,True,,
33,"“期末考试,你该长大了该学会不挂科了”",mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_quotes,rating_clean,期末考试|挂科,v1.0,True,,
34,"“看了三页书,奖励自己玩三十分钟手机”",mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_quotes,rating_clean,书|手机,v1.0,True,,
35,知识知识快进脑👩🏻🏫,mood_energetic,scene_study,style_emoji_heavy,purpose_heal_self,theme_work_life,relation_none,length_ultra_short,4,format_has_emoji,rating_clean,知识,v1.0,True,,
36,年度第一🏅️,mood_happy,scene_study,style_minimal,purpose_humble_brag,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,年度第一,v1.0,True,,
37,“这个世界会变好吗 等通知”,mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,世界,v1.0,True,,
38,“高数课什么感觉?知道看美剧没有字幕什么概念吗?”,mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_quotes,rating_clean,高数|美剧,v1.0,True,,
39,“对于上学我的评价是付费坐牢”,mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_quotes,rating_clean,上学|坐牢,v1.0,True,,
40,“大学生寒暑假無️作业”,mood_happy,scene_holiday,style_quote,purpose_share_life,,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,大学生|寒暑假|作业,v1.0,True,,
41,👩🏻🏫 study,mood_energetic,scene_study,style_emoji_heavy,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji|format_has_english,rating_clean,学习,v1.0,True,,
42,📕𝄀 𝄀 读书使我快乐୧ᐛ,mood_happy,scene_study,style_emoji_heavy,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,读书,v1.0,True,,
43,精致的早八人·服装走秀🧑🎨(bushi),mood_humor,scene_study,style_emoji_heavy,purpose_share_life,theme_work_life,relation_none,length_short,4,format_has_emoji|format_has_english,rating_clean,早八|服装,v1.0,True,,
44,🔛 开启学习生活,mood_energetic,scene_study,style_symbol_deco,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,学习,v1.0,True,,
45,“有無️人替我学习”,mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_quotes,rating_clean,学习,v1.0,True,,
46,📚 »被学习填满の日常,mood_energetic,scene_study,style_emoji_heavy,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,学习,v1.0,True,,
47,两千个赞就去复习。,mood_humor,scene_study,style_minimal,purpose_interact,theme_work_life,relation_none,length_ultra_short,4,,rating_clean,复习|赞,v1.0,True,,
48,"考试遇到不会的题千万不要慌,",mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,,rating_clean,考试,v1.0,True,,
49,"腾出双手准备好掐4自己,但别真4。",mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_mild_slang,考试,v1.0,True,,
50,"因为人在快4的时候会回忆自己的一生,
当你回忆起课本内容的时候立即松手挣脱出来,",mood_humor,scene_study,style_essay,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_mild_slang,考试|课本,v1.0,True,,
51,你的难题就迎刃而解了!,mood_energetic,scene_universal,style_minimal,purpose_heal_self,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
52,"稍微学习一点,就感觉自己在智力方面果然有难言之隐。现在我对我所学专业的知识的掌握程度可谓是略有耳闻。",mood_humor,scene_study,style_essay|style_colloquial,purpose_complain,theme_growth,relation_none,length_medium,4,,rating_clean,学习|专业,v1.0,True,,
53,"在图书馆的我得到手机,可谓是如鱼得水",mood_humor,scene_study,style_minimal|style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,3,,rating_clean,图书馆|手机,v1.0,True,,
54,"Daily Memes
我期末周就这样",mood_humor,scene_study,style_cn_en_mix|style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,3,format_has_english,rating_clean,期末|meme,v1.0,True,,
55,正式开始。。。。,mood_energetic,scene_study,style_minimal,purpose_record,theme_work_life,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
56,你怕什么 它就考什么☝🏻🤓,mood_humor,scene_study,style_colloquial|style_emoji_heavy,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_emoji,rating_clean,考试,v1.0,True,,
57,想变年轻的可以试试复习期末考,mood_humor,scene_study,style_minimal|style_colloquial,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,,rating_clean,复习|期末,v1.0,True,,
58,给姐累成孙子了,mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,,rating_clean,,v1.0,True,,
59,谁懂...这几天恨不得住图书馆里,mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,3,,rating_clean,图书馆,v1.0,True,,
60,感觉白光一闪重返高三了,mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life|theme_nostalgia,relation_none,length_ultra_short,3,,rating_clean,高三,v1.0,True,,
61,这么难学 我早干嘛去了😭😭,mood_emo,scene_study,style_colloquial|style_emoji_heavy,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,format_has_emoji,rating_clean,考试,v1.0,True,,
62,还有多少大学生跟我一样被考试折磨,mood_emo,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,3,,rating_clean,大学生|考试,v1.0,True,,
63,oooo在此提醒大家,mood_humor,scene_study,style_minimal|style_colloquial,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,format_has_english,rating_clean,,v1.0,True,,
64,期末复习的同时也要记得好好吃饭呀,mood_healing,scene_study,style_colloquial,purpose_heal_self,theme_work_life|theme_self_love,relation_none,length_short,2,,rating_clean,期末|吃饭,v1.0,True,,
65,做什么都会成功的~(˶ ̅᷄ꈊ ̅᷅˵)~,mood_energetic,scene_universal,style_emoji_heavy,purpose_heal_self,theme_self_love,relation_none,length_short,3,,rating_clean,,v1.0,True,,id=65: 标了 style_emoji_heavy 但文本无明显 emoji
66,"わたし不才,未能得sensei(老师)青睐ませんでした,该当切腹自尽!(拔刀)(怕痛没戳)(刀柄捅肚子)(yue)学期里扰sensei良久....红豆泥...私密马赛......",mood_humor,scene_study,style_cn_en_mix|style_abstract,purpose_complain,theme_work_life,relation_none,length_long,4,format_has_english,rating_clean,老师|学期,v1.0,True,,
67,这个时候...只要微笑就好了!,mood_humor,scene_universal,style_quote|style_colloquial,purpose_show_mood,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
68,谁懂啊期末周一堆作业和结课论文突然压上来了,mood_emo,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_clean,期末|作业|论文,v1.0,True,,
69,研二下 感觉前途一片抽象,mood_emo,scene_study,style_colloquial,purpose_complain,theme_work_life|theme_growth,relation_none,length_ultra_short,3,,rating_clean,研二|前途,v1.0,True,,
70,当年扫射老婆奴的时候我蹲下给老婆系鞋带躲过了一劫,mood_humor,scene_universal,style_abstract|style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_short,4,,rating_clean,老婆,v1.0,True,,
71,天佑我的爱人 给她永远笑声 并常对她偏爱 让她不再觉得生命无奈,mood_romantic,scene_universal,style_quote|style_poetic,purpose_subtle_love,theme_love,relation_couple,length_short,3,,rating_clean,爱人,v1.0,True,,
72,"不是妻管严,只是妻子的决策太过英明,她看事通透、思虑周全,那些我没顾及到的细节,没看透的关键她总能一语中的给出最稳妥的答案,与其固执己见走弯路,不如心甘情愿听老婆的,毕竟跟老婆走,日子才会越过越好=ω=",mood_humor,scene_universal,style_essay|style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_long,3,,rating_clean,妻子|老婆,v1.0,True,,
73,女朋友又不是必需品 没必要天天黏在一起吧 她不理我了 我不活了,mood_humor,scene_universal,style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_short,4,,rating_clean,女朋友,v1.0,True,,
74,第一准则:妻子永远是对的 第二准则:如果妻子错了请参考第一条,mood_humor,scene_universal,style_minimal|style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_short,3,,rating_clean,妻子,v1.0,True,,
75,小猫的爱是牙印和抓痕 我的妻子也是,mood_romantic,scene_universal,style_poetic|style_colloquial,purpose_subtle_love,theme_love|theme_pet,relation_couple,length_short,3,,rating_clean,小猫|妻子,v1.0,True,,
76,"家妻可爱家妻漂亮家妻性感家妻性格好家妻贤惠家妻万能家妻魅力百倍,赞美家妻!",mood_humor,scene_universal,style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_short,4,,rating_clean,家妻,v1.0,True,,
77,我的生活:等女朋友消息 和女朋友聊天 盼女朋友出现 一个简单的循环 乐此不疲,mood_humor,scene_universal,style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_short,3,,rating_clean,女朋友,v1.0,True,,
78,女朋友这种生物 真的太狡猾了 用可爱做武器 让我心甘情愿投降,mood_romantic,scene_universal,style_colloquial,purpose_subtle_love,theme_love,relation_couple,length_short,3,,rating_clean,女朋友,v1.0,True,,
79,想说些漂亮的话哄你 可想来想去最漂亮的只有你了,mood_romantic,scene_universal,style_poetic|style_colloquial,purpose_subtle_love,theme_love,relation_couple,length_short,3,,rating_clean,,v1.0,True,,
80,给老婆当狗挺幸福的呀 老婆觉得我可爱才会说我像狗 老婆开心我也开心 老婆骂我 我就装聋 我要给老婆当一辈子的狗,mood_humor,scene_universal,style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_medium,4,,rating_clean,老婆,v1.0,True,,
81,"我在抵抗姐姐的挑战中获得了0s的好成绩,你也来试试看吧",mood_humor,scene_universal,style_colloquial|style_abstract,purpose_cool_pose,theme_love,relation_couple,length_short,4,,rating_clean,姐姐,v1.0,True,,
82,求了女朋友三个小时 才答应我出去溜溜 幸福从来不需要大肆宣扬 某天看见她那双眼睛变得更爱笑更明媚了 哪怕什么都没说 一切尽在不言中,mood_romantic,scene_universal,style_essay|style_colloquial,purpose_subtle_love,theme_love|theme_happiness,relation_couple,length_medium,3,,rating_clean,女朋友,v1.0,True,,
83,我就是一个彻彻底底的女友控 我必须时时刻刻黏着我的女朋友 女朋友不理我我的天就塌了 就算世界末日了我也要和我女朋友待在一起,mood_humor,scene_universal,style_colloquial,purpose_cool_pose,theme_love,relation_couple,length_medium,4,,rating_clean,女朋友,v1.0,True,,
84,谁懂啊!当个乖乖老婆奴也太幸福了吧,mood_happy,scene_universal,style_colloquial,purpose_cool_pose,theme_love|theme_happiness,relation_couple,length_short,4,,rating_clean,老婆,v1.0,True,,
85,一年一年又到毕业季~你开心我安心~,mood_happy,scene_holiday,style_colloquial,purpose_share_life,theme_friendship,relation_friend,length_short,3,,rating_clean,毕业季,v1.0,True,,
86,"夏天时我常会在夜晚饮酒
主动去享受微醺的状态
大概就是身体放松,脑袋放空
游走在街道上感觉身体就轻盈了许多
在此游离之间,还能迸发许多灵感:
微醺以后,
世界终于同意我
找不到北。 —《迷失》
我用酒兑夜色,
来一点一点稀释孤独。 —《稀释》",mood_literary,scene_night,style_poetic|style_essay,purpose_show_mood,theme_night_mood|theme_freedom,relation_solo,length_long,2,,rating_clean,夏天|夜晚|酒|微醺,v1.0,True,,
87,"周末的午后,把自己还给自己。",mood_peaceful,scene_home,style_minimal,purpose_heal_self,theme_self_love,relation_solo,length_ultra_short,2,,rating_clean,周末,v1.0,True,,
88,"选一个角落,摊开一本书,手机静音。",mood_peaceful,scene_home,style_minimal,purpose_heal_self,theme_self_love,relation_solo,length_short,2,,rating_clean,书,v1.0,True,,
89,"风吹过书页,或者什么都不发生,都没关系。",mood_peaceful,scene_home,style_minimal,purpose_heal_self,theme_self_love,relation_solo,length_short,2,,rating_clean,风,v1.0,True,,
90,"“幸福的真正途径是向内看,取悦自己而非他人”",mood_reflective,scene_universal,style_quote,purpose_heal_self,theme_self_love|theme_philosophy,relation_none,length_short,2,format_has_quotes,rating_clean,幸福,v1.0,True,,
91,“我总有新的热情去感受世界.”,mood_energetic,scene_universal,style_quote,purpose_heal_self,theme_self_love,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,世界,v1.0,True,,
92,:好好生活 是一种能力 也是一种态度,mood_reflective,scene_universal,style_symbol_deco|style_quote,purpose_heal_self,theme_self_love|theme_philosophy,relation_none,length_short,2,,rating_clean,生活,v1.0,True,,
93,"/在力所能及的范围内 尽兴点
▪️人是无法在透支的状态下长期燃烧的
▪️不如松绑 去肯定自己 随意生活
▪️成年人续命的方式:咖啡+一点点出发的勇气
▪️不是生活有意思 而是你热爱它才有意思
▪️按自己喜欢的方式 做喜欢的事
▪️我总有新的力量重新爱自己
▪️祝你从一而终的自由轻盈 在热爱中寻找尽兴",mood_energetic,scene_universal,style_symbol_deco|style_quote,purpose_heal_self,theme_self_love|theme_freedom,relation_none,length_long,3,,rating_clean,咖啡|勇气,v1.0,True,,
94,还好 这世界到处都是充电站,mood_healing,scene_universal,style_minimal,purpose_heal_self,theme_self_love,relation_none,length_ultra_short,2,,rating_clean,充电站,v1.0,True,,
95,看着心情都好好🥰,mood_happy,scene_universal,style_emoji_heavy|style_colloquial,purpose_share_life,theme_happiness,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,,v1.0,True,,
96,或许 生活不必时刻紧绷 偶尔放慢脚步,mood_peaceful,scene_universal,style_minimal,purpose_heal_self,theme_self_love,relation_none,length_short,2,,rating_clean,生活,v1.0,True,,
97,积攒下再度出发的小小勇气~,mood_energetic,scene_universal,style_minimal|style_colloquial,purpose_heal_self,theme_self_love,relation_none,length_ultra_short,2,,rating_clean,勇气,v1.0,True,,
98,仙女👩🏻💻打工 必有苦衷,mood_humor,scene_work,style_emoji_heavy|style_colloquial,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,仙女|打工,v1.0,True,,
99,"一问在干嘛,要么在健身,普拉提,要么游泳,爬山,骑行,攀岩,羽毛球,大家都有自己各自的项目在忙,吃个饭又说要等放纵餐,约是约不出来的。(最近健身懈怠了,后面好好练)",mood_humor,scene_social,style_essay|style_colloquial,purpose_share_life,theme_friendship|theme_work_life,relation_friend,length_long,3,,rating_clean,健身|普拉提|游泳|爬山|骑行,v1.0,True,,
100,牛累了会知道要歇息 牛马累了会点咖啡,mood_humor,scene_work,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,3,,rating_clean,牛|牛马|咖啡,v1.0,True,,
101,"“工作累累的,人也碎碎的”",mood_emo,scene_work,style_colloquial|style_quote,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,工作,v1.0,True,,
102,枯藤老树昏鸦 上班摸鱼 下班回家💤,mood_humor,scene_work,style_emoji_heavy|style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_emoji,rating_clean,上班|摸鱼|下班,v1.0,True,,
103,在上班的夹缝里凿壁偷光.,mood_humor,scene_work,style_abstract|style_pure_cn,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,,rating_clean,上班,v1.0,True,,
104,牛不吟 马不叫 小小牛马 收到 收到🫡,mood_humor,scene_work,style_emoji_heavy|style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,4,format_has_emoji,rating_clean,牛马|收到,v1.0,True,,
105,"像大人一样工作,像小孩一样生活",mood_reflective,scene_work,style_quote|style_pure_cn,purpose_show_mood,theme_growth|theme_work_life,relation_none,length_ultra_short,3,,rating_clean,工作|生活,v1.0,True,,
106,"为自己今天的卖力打工,自罚一杯",mood_humor,scene_work,style_colloquial|style_pure_cn,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,,rating_clean,打工,v1.0,True,,
107,没有动态的日子 都在认真打工💻,mood_peaceful,scene_work,style_emoji_heavy|style_minimal,purpose_share_life,theme_work_life,relation_none,length_ultra_short,2,format_has_emoji,rating_clean,打工,v1.0,True,,
108,"磨刀不误砍柴工,喝完咖啡再打工🧱",mood_humor,scene_work,style_emoji_heavy|style_quote,purpose_complain,theme_work_life,relation_none,length_short,3,format_has_emoji,rating_clean,咖啡|打工,v1.0,True,,
109,"没有动态的日子,全在埋头认真打工💻",mood_peaceful,scene_work,style_emoji_heavy|style_minimal,purpose_share_life,theme_work_life,relation_none,length_short,2,format_has_emoji,rating_clean,打工,v1.0,True,,
110,"💭打工人永恒信条:谋生归谋生,生活还是要好好热爱~",mood_energetic,scene_work,style_emoji_heavy|style_quote,purpose_heal_self,theme_work_life|theme_self_love,relation_none,length_short,3,format_has_emoji,rating_clean,打工|生活,v1.0,True,,
111,以后早八上班的续命咖啡稳稳拿捏,mood_energetic,scene_work,style_colloquial|style_pure_cn,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,,rating_clean,早八|咖啡,v1.0,True,,
112,"为今天卖力搬砖的自己,自罚一杯提神~",mood_humor,scene_work,style_colloquial|style_pure_cn,purpose_complain,theme_work_life,relation_none,length_short,3,,rating_clean,搬砖,v1.0,True,,
113,️ 下头快,mood_mysterious,scene_universal,style_minimal|style_symbol_deco,purpose_cool_pose,,relation_none,length_ultra_short,4,,rating_clean,,v1.0,True,,
114,"绝大多数时间理性大于感性,在某些细节里很快就会对对方失去兴趣,可能在听到聊天的某个问题答案之后就不想再继续接触了解了,直接缩回自己社交圈子里",mood_reflective,scene_universal,style_essay|style_pure_cn,purpose_show_mood,theme_growth|theme_self_love,relation_solo,length_medium,3,,rating_clean,理性|感性|社交,v1.0,True,,
115,"一开始看别人谈恋爱还是会害怕孤独,但当开始热爱现有生活,就更加享受独处,会担心恋爱后没有自由,担心他人进入后,自己空间会受到限制",mood_reflective,scene_universal,style_essay|style_pure_cn,purpose_show_mood,theme_freedom|theme_self_love,relation_solo,length_medium,3,,rating_clean,恋爱|独处|自由,v1.0,True,,
116,"好像现在大家都不太擅长聊天,特别是进入社会之后,每天就是上班下班好像确实没什么好聊的。硬聊的话没几天就开始产生抵触情绪,不知道怎么开展话题又不知道怎么回复,绝大部分人都是在进行人机对抗赛",mood_reflective,scene_work,style_essay|style_pure_cn,purpose_show_mood,theme_work_life|theme_growth,relation_none,length_long,3,,rating_clean,聊天|上班|下班,v1.0,True,,
117,"每天就是上班下班两点一线,特别是生活在一线城市的,社会节奏快,工作消耗大量的精力时间,休息就很少出门去认识新的朋友难得打扮出门还是闺蜜局",mood_emo,scene_work,style_essay|style_pure_cn,purpose_complain,theme_work_life,relation_none,length_medium,3,,rating_clean,上班|下班|一线城市,v1.0,True,,
118,谁说单身狗只能眼巴巴吃狗粮?,mood_humor,scene_universal,style_colloquial|style_pure_cn,purpose_cool_pose,theme_self_love,relation_solo,length_ultra_short,4,,rating_clean,单身狗|狗粮,v1.0,True,,
119,抽卡提问:“你理想中的遛娃搭子是什么样的?”,mood_humor,scene_universal,style_colloquial|style_pure_cn,purpose_interact,,relation_none,length_short,3,format_has_quotes,rating_clean,遛娃搭子,v1.0,True,,
120,人人都有各自的月亮,mood_peaceful,scene_universal,style_quote|style_pure_cn,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,,rating_clean,月亮,v1.0,True,,
121,没有谁可以做到完全的感同身受,mood_reflective,scene_universal,style_quote|style_pure_cn,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,,rating_clean,感同身受,v1.0,True,,
122,那些无数个独自度过的时刻,mood_emo,scene_universal,style_minimal|style_pure_cn,purpose_show_mood,theme_night_mood,relation_solo,length_ultra_short,2,,rating_clean,独自,v1.0,True,,
123,已经让我觉得足够完整,mood_healing,scene_universal,style_minimal|style_pure_cn,purpose_heal_self,theme_self_love,relation_solo,length_ultra_short,2,,rating_clean,,v1.0,True,,
124,我不再装模作样的拥有很多朋友,mood_reflective,scene_universal,style_quote|style_pure_cn,purpose_show_mood,theme_growth|theme_friendship,relation_solo,length_ultra_short,3,,rating_clean,朋友,v1.0,True,,
125,而是回到了孤独之中,mood_peaceful,scene_universal,style_quote|style_pure_cn,purpose_show_mood,theme_self_love,relation_solo,length_ultra_short,2,,rating_clean,孤独,v1.0,True,,
126,以真正的我 开始了独自的生活,mood_healing,scene_universal,style_quote|style_pure_cn,purpose_heal_self,theme_self_love|theme_growth,relation_solo,length_ultra_short,2,,rating_clean,独自,v1.0,True,,
127,一个人也可以为自己做丰盛的晚餐,mood_healing,scene_home,style_minimal|style_pure_cn,purpose_share_life,theme_self_love,relation_solo,length_ultra_short,2,,rating_clean,晚餐,v1.0,True,,
