id,batch,text,mood,scene,style,purpose,theme,relation,length,tone_level,format,content_rating,keywords,tag_version,qc_passed,qc_errors,qc_warnings
11,old,May episode🩵ིྀ  ̊✩,mood_romantic,scene_universal,style_cn_en_mix|style_symbol_deco,purpose_record,theme_season_spring,relation_none,length_short,2,format_has_emoji|format_has_english,rating_clean,May,v1.0,True,,
12,old,如果什么都是淡淡的就好了 不开心是淡淡的 痛苦是淡淡的 哪怕幸福也好一直淡淡的 就是石子打到水里 内心只有平静 就不会痛苦,mood_peaceful,scene_universal,style_essay,purpose_show_mood,theme_philosophy,relation_solo,length_medium,2,,rating_clean,,v1.0,True,,
13,old,"我的一切都是淡淡的 轰轰烈烈对我来说有点遥不可及 如果你能懂我的话,我的内心应该像是平静的湖水突然有了一些涟漪,很轻,但却很清晰",mood_peaceful,scene_universal,style_essay,purpose_show_mood,theme_self_love,relation_solo,length_medium,2,,rating_clean,湖水,v1.0,True,,
14,old,photo dump🫧🧺,mood_peaceful,scene_universal,style_cn_en_mix|style_symbol_deco,purpose_record,,relation_none,length_ultra_short,2,format_has_emoji|format_has_english|format_photo_dump,rating_clean,,v1.0,True,,
15,old,in Mo3ent,mood_mysterious,scene_universal,style_cn_en_mix,purpose_cool_pose,,relation_none,length_ultra_short,2,format_has_english,rating_clean,,v1.0,True,,
16,old,太阳是树的心脏,mood_healing,scene_nature,style_poetic,purpose_show_mood,theme_season_spring|theme_sunny,relation_none,length_ultra_short,2,,rating_clean,太阳|树,v1.0,True,,
17,old,work⌨️»,mood_energetic,scene_work,style_symbol_deco,purpose_share_life,theme_work_life,relation_none,length_ultra_short,3,format_has_english,rating_clean,工作,v1.0,True,,
18,old,“边边角角”,mood_reflective,scene_universal,style_quote,purpose_show_mood,,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,,v1.0,True,,
19,old,"""不知不觉成了每天为生活奔波的人。""",mood_emo,scene_universal,style_quote,purpose_show_mood,theme_work_life|theme_growth,relation_none,length_short,3,format_has_quotes,rating_clean,生活,v1.0,True,,
20,old,记录一些「白开水时刻」,mood_peaceful,scene_universal,style_quote,purpose_record,,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,白开水,v1.0,True,,
21,old,📝 人与人需要多少片涟漪才能长流,mood_reflective,scene_universal,style_poetic,purpose_show_mood,theme_friendship|theme_philosophy,relation_friend,length_short,2,format_has_emoji,rating_clean,涟漪,v1.0,True,,
22,old,幸福就像是隐藏在电影的彩蛋,mood_healing,scene_universal,style_poetic,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,2,,rating_clean,电影|彩蛋,v1.0,True,,
23,old,目前状态:轻松愉快,mood_happy,scene_universal,style_minimal,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
24,old,发什么呆,mood_humor,scene_universal,style_minimal,purpose_interact,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
25,old,我无限地爱着新的一日,mood_energetic,scene_universal,style_poetic,purpose_show_mood,theme_happiness|theme_sunny,relation_none,length_ultra_short,3,,rating_clean,新的一日,v1.0,True,,
26,old,The best people in life are free,mood_energetic,scene_universal,style_cn_en_mix|style_quote,purpose_cool_pose,theme_freedom,relation_none,length_short,3,format_has_english,rating_clean,,v1.0,True,,
27,old,"""And miles to go before I sleep""",mood_reflective,scene_universal,style_cn_en_mix|style_quote,purpose_show_mood,theme_philosophy,relation_none,length_short,2,format_has_english|format_has_quotes,rating_clean,,v1.0,True,,
28,old,地球快爆炸,mood_humor,scene_universal,style_minimal,purpose_complain,,relation_none,length_ultra_short,4,,rating_clean,地球,v1.0,True,,
29,old,我最近幸福的没话说,mood_happy,scene_universal,style_minimal,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
30,old,我喜欢平静的生活 每天平静的过完一天 这就足够了 就算有什么出乎意料的事情即将发生我也希望它慢慢地敲响我的门让我欣然接受 🪴,mood_peaceful,scene_home,style_essay|style_emoji_heavy,purpose_show_mood,theme_self_love,relation_solo,length_medium,2,format_has_emoji,rating_clean,,v1.0,True,,
31,old,"•“将来的某一天,我会因为生活如此美好喜极而泣。”",mood_healing,scene_universal,style_quote,purpose_show_mood,theme_happiness,relation_none,length_short,2,format_has_quotes,rating_clean,,v1.0,True,,
32,old,▪️于是 这一生得以缓慢铺陈 尽管艰难,mood_reflective,scene_universal,style_symbol_deco|style_poetic,purpose_show_mood,theme_growth|theme_philosophy,relation_none,length_short,3,,rating_clean,,v1.0,True,,
33,old,猪肉摊上没人要你的时候也会偷偷哭泣吧,mood_humor,scene_universal,style_abstract,purpose_cool_pose,,relation_none,length_short,3,,rating_clean,猪肉,v1.0,True,,
34,old,也许是天气 也许是运气🍀,mood_peaceful,scene_universal,style_minimal|style_emoji_heavy,purpose_show_mood,theme_sunny,relation_none,length_ultra_short,2,format_has_emoji,rating_clean,天气|运气,v1.0,True,,
35,old,被珍藏的昨日,mood_nostalgia,scene_universal,style_poetic,purpose_show_mood,theme_nostalgia,relation_none,length_ultra_short,2,,rating_clean,昨日,v1.0,False,id=35: 非法标签 mood=mood_nostalgia,
36,old,迈入夏天的深绿里,mood_healing,scene_nature,style_poetic,purpose_share_life,theme_season_spring,relation_none,length_ultra_short,2,,rating_clean,夏天|深绿,v1.0,True,,
37,old,/•᷅‎‎•᷄\୭,mood_humor,scene_universal,style_symbol_deco,purpose_cool_pose,,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
38,old,腰栓栓的、爱内耗、想摆烂、偷偷emo,mood_emo,scene_universal,style_colloquial,purpose_complain,theme_work_life,relation_solo,length_short,4,format_has_english,rating_clean,腰|内耗|摆烂,v1.0,True,,
39,old,破烂世界打成大蛋挞,mood_humor,scene_universal,style_abstract,purpose_cool_pose,,relation_none,length_ultra_short,4,,rating_clean,蛋挞,v1.0,True,,
40,old,“词不达意是我们的通病.”,mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,,v1.0,True,,
41,old,不想拥有太多情绪,mood_peaceful,scene_universal,style_minimal,purpose_show_mood,,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
42,old,人生之福藏于微常,mood_peaceful,scene_universal,style_poetic,purpose_show_mood,theme_happiness|theme_philosophy,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
43,old,如果天气超级好的话,mood_healing,scene_nature,style_minimal,purpose_show_mood,theme_sunny,relation_none,length_ultra_short,2,,rating_clean,天气,v1.0,True,,
44,old,笨蛋๐ ̇Ⱉ ̇๐,mood_humor,scene_universal,style_symbol_deco,purpose_cool_pose,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
45,old,32号就恋爱,mood_humor,scene_universal,style_abstract,purpose_subtle_love,theme_love,relation_crush,length_ultra_short,3,,rating_clean,32号,v1.0,True,,
46,old,Onely look at me,mood_romantic,scene_universal,style_cn_en_mix,purpose_subtle_love,theme_love,relation_crush,length_short,3,format_has_english,rating_clean,,v1.0,True,,
47,old,▪️猫的左耳,mood_mysterious,scene_pet,style_symbol_deco|style_minimal,purpose_share_life,theme_pet,relation_none,length_ultra_short,2,,rating_clean,猫|左耳,v1.0,True,,
48,old,属于玫瑰的盛夏永不缺席。,mood_romantic,scene_nature,style_poetic,purpose_show_mood,theme_season_spring|theme_love,relation_none,length_ultra_short,3,,rating_clean,玫瑰|盛夏,v1.0,True,,
49,old,心静可通万事理,mood_peaceful,scene_universal,style_poetic,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
50,old,风吹过山丘 我和我阔别已久,mood_reflective,scene_nature,style_poetic,purpose_show_mood,theme_nostalgia|theme_growth,relation_solo,length_ultra_short,3,,rating_clean,风|山丘,v1.0,True,,
51,old,其实只要是情绪低落或者焦虑和无聊的时候,mood_emo,scene_universal,style_minimal,purpose_show_mood,,relation_none,length_short,2,,rating_clean,情绪低落|焦虑|无聊,v1.0,True,,
52,old,“好坏参半”,mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,,v1.0,True,,
53,old,没有边角料 都是主旋律,mood_energetic,scene_universal,style_minimal,purpose_cool_pose,theme_self_love,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
54,old,“在某个时刻 🕒”,mood_literary,scene_universal,style_quote|style_symbol_deco,purpose_show_mood,,relation_none,length_ultra_short,2,format_has_emoji|format_has_quotes,rating_clean,,v1.0,True,,
55,old,没想到吧 熊今天更两篇,mood_humor,scene_universal,style_colloquial,purpose_interact,,relation_none,length_ultra_short,4,,rating_clean,熊,v1.0,True,,
56,old,生日好像只有24小时有效,mood_reflective,scene_holiday,style_minimal,purpose_show_mood,theme_nostalgia,relation_none,length_ultra_short,2,,rating_clean,生日,v1.0,True,,
57,old,祝我们痛苦奋斗之后必定得偿所愿!,mood_energetic,scene_universal,style_colloquial,purpose_heal_self,theme_growth,relation_none,length_short,4,,rating_clean,,v1.0,True,,
58,old,会一直更新哒٩(● ́৺`●)૭٩(● ́৺`●)و,mood_happy,scene_universal,style_emoji_heavy,purpose_interact,,relation_none,length_short,4,,rating_clean,,v1.0,True,,id=58: 标了 style_emoji_heavy 但文本无明显 emoji
59,old,可爱の古文符号,mood_humor,scene_universal,style_abstract,purpose_cool_pose,,relation_none,length_ultra_short,3,,rating_clean,古文符号,v1.0,True,,
60,old,"一想到马上就要毕业了真的好想哭,夏天再也不会变成暑假来拯救我了",mood_emo,scene_study,style_essay,purpose_show_mood,theme_growth|theme_season_spring,relation_none,length_short,4,,rating_clean,毕业|夏天|暑假,v1.0,True,,
61,old,吸引力法则的尽头是朋友圈,mood_humor,scene_universal,style_minimal,purpose_cool_pose,,relation_none,length_ultra_short,3,,rating_clean,吸引力法则|朋友圈,v1.0,True,,
62,old,我有很多钱钱💰💰💰💰,mood_humor,scene_universal,style_emoji_heavy,purpose_humble_brag,,relation_none,length_ultra_short,4,format_has_emoji,rating_clean,钱,v1.0,True,,
63,old,某些瞬间会支撑着我,mood_healing,scene_universal,style_minimal,purpose_heal_self,theme_self_love,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
64,old,一些幸福的meme🍀,mood_happy,scene_universal,style_emoji_heavy,purpose_share_life,theme_happiness,relation_none,length_ultra_short,3,format_has_emoji|format_has_english,rating_clean,meme,v1.0,True,,
65,old,一些适合写在扉页的文字4.0,mood_literary,scene_universal,style_minimal,purpose_record,,relation_none,length_ultra_short,2,,rating_clean,扉页,v1.0,True,,
66,old,♡約會日.ᐟ.ᐟ.ᐟ,mood_romantic,scene_social,style_symbol_deco|style_emoji_heavy,purpose_share_life,theme_love,relation_couple,length_ultra_short,3,format_has_emoji,rating_clean,约会,v1.0,True,,
67,old,我不用再频繁的化妆了 因为你已经爱我的全部了,mood_romantic,scene_universal,style_essay,purpose_subtle_love,theme_love|theme_self_love,relation_couple,length_short,3,,rating_clean,化妆,v1.0,True,,
68,old,这样我将无比幸福( ́ᴗ ·̫ ᴗ`),mood_happy,scene_universal,style_emoji_heavy,purpose_show_mood,theme_happiness,relation_none,length_short,3,,rating_clean,,v1.0,True,,id=68: 标了 style_emoji_heavy 但文本无明显 emoji
69,old,除入住楼禁评,mood_peaceful,scene_universal,style_minimal,purpose_interact,,relation_none,length_ultra_short,1,,rating_clean,,v1.0,True,,
70,old,眼睛写了日记选了几页分享,mood_literary,scene_universal,style_poetic,purpose_share_life,,relation_none,length_ultra_short,2,format_photo_dump,rating_clean,日记,v1.0,True,,
71,old,"“救命,好喜欢这句”",mood_humor,scene_universal,style_quote|style_colloquial,purpose_interact,,relation_none,length_ultra_short,4,format_has_quotes,rating_clean,,v1.0,True,,
72,old,📝:面对一百种的生活太困惑—《工作与休息》,mood_reflective,scene_music,style_symbol_deco,purpose_share_life,theme_philosophy,relation_none,length_short,2,format_has_emoji,rating_clean,工作|休息,v1.0,True,,
73,old,看到这篇笔记 说明你已经在幸福里啦ovo,mood_healing,scene_universal,style_colloquial|style_emoji_heavy,purpose_heal_self,theme_happiness,relation_none,length_short,3,format_has_english,rating_clean,幸福,v1.0,True,,id=73: 标了 style_emoji_heavy 但文本无明显 emoji
74,old,平常也喜欢码字,mood_peaceful,scene_universal,style_minimal,purpose_share_life,,relation_none,length_ultra_short,2,,rating_clean,码字,v1.0,True,,
75,old,自由小幸福短句,mood_happy,scene_universal,style_minimal,purpose_share_life,theme_happiness|theme_freedom,relation_none,length_ultra_short,2,,rating_clean,自由|幸福,v1.0,True,,
76,old,“以春为饵 去垂钓新生,mood_literary,scene_nature,style_quote|style_poetic,purpose_show_mood,theme_season_spring|theme_growth,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,春天|新生,v1.0,True,,
77,old,是某天某時某一瞬間的幸福,mood_healing,scene_universal,style_minimal,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,2,,rating_clean,幸福,v1.0,True,,
78,old,当我睁开眼 六月的阳光连同幸福穿过我瞳孔,mood_happy,scene_nature,style_poetic,purpose_show_mood,theme_happiness|theme_season_spring,relation_none,length_short,3,,rating_clean,六月|阳光|幸福,v1.0,True,,
79,old,🚖‬‎ 🚘duud‬‎du  ᐝ  逛逛 MUJI ⋆ ゚,mood_happy,scene_food,style_symbol_deco|style_emoji_heavy,purpose_share_life,theme_foodie,relation_none,length_short,3,format_has_emoji|format_has_english,rating_clean,MUJI,v1.0,True,,
80,old,叶脉是春天的薄荷色信封,mood_literary,scene_nature,style_poetic,purpose_show_mood,theme_season_spring,relation_none,length_ultra_short,2,,rating_clean,叶脉|春天|薄荷,v1.0,True,,
81,old,我真的很擅长让自己感到幸福,mood_happy,scene_universal,style_minimal,purpose_heal_self,theme_self_love|theme_happiness,relation_solo,length_ultra_short,3,,rating_clean,幸福,v1.0,True,,
82,old,“幸福来敲门 我问待多久 幸福说不走.”,mood_healing,scene_universal,style_quote,purpose_heal_self,theme_happiness,relation_none,length_short,2,format_has_quotes,rating_clean,幸福,v1.0,True,,
83,old,⌯>ᴗo⌯ಣ,mood_happy,scene_universal,style_emoji_heavy,purpose_show_mood,,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,id=83: 标了 style_emoji_heavy 但文本无明显 emoji
84,old,我爱我缓慢向上的勇气,mood_energetic,scene_universal,style_minimal,purpose_heal_self,theme_self_love|theme_growth,relation_solo,length_ultra_short,3,,rating_clean,勇气,v1.0,True,,
85,old,幸福吗 包的,mood_humor,scene_universal,style_colloquial,purpose_cool_pose,theme_happiness,relation_none,length_ultra_short,4,,rating_clean,幸福,v1.0,True,,
86,old,"我与世界,都是帧帧瞬间。",mood_reflective,scene_universal,style_minimal,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,,rating_clean,世界|瞬间,v1.0,True,,
87,old,普通人 普通生活 普通过,mood_peaceful,scene_universal,style_minimal,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,,rating_clean,普通人|普通生活,v1.0,True,,
88,old,🍻 vibin' with my ride or dies,mood_happy,scene_social,style_cn_en_mix|style_emoji_heavy,purpose_share_life,theme_friendship,relation_friend,length_short,4,format_has_emoji|format_has_english,rating_clean,,v1.0,True,,
89,old,你们的生命不会呐喊吗,mood_mysterious,scene_universal,style_abstract,purpose_cool_pose,theme_philosophy,relation_none,length_ultra_short,3,,rating_clean,生命,v1.0,True,,
90,old,封面搬运自潦草咪,mood_peaceful,scene_universal,style_minimal,purpose_record,,relation_none,length_ultra_short,1,,rating_mild_slang,封面|潦草咪,v1.0,True,,
91,old,WeChat|过了时效的照片怎么发💫,mood_literary,scene_universal,style_cn_en_mix|style_symbol_deco,purpose_share_life,,relation_none,length_short,2,format_has_emoji|format_has_english,rating_clean,照片,v1.0,True,,
92,old,大家都要幸福哦~🍀,mood_healing,scene_universal,style_colloquial|style_emoji_heavy,purpose_interact,theme_happiness,relation_none,length_ultra_short,3,format_has_emoji,rating_clean,幸福,v1.0,True,,
93,old,“让自由在幸福的地方停下.”,mood_literary,scene_universal,style_quote,purpose_show_mood,theme_freedom|theme_happiness,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,自由|幸福,v1.0,True,,
94,old,▫️早春不过一棵树,mood_literary,scene_nature,style_symbol_deco|style_poetic,purpose_show_mood,theme_season_spring,relation_none,length_ultra_short,2,,rating_clean,早春|树,v1.0,True,,
95,old,"关于家,那些充满「爱与支持」「我们」「生活」的故事。",mood_healing,scene_home,style_essay,purpose_share_life,theme_family|theme_happiness,relation_family,length_short,3,format_has_quotes,rating_clean,家|爱|支持|生活,v1.0,True,,
96,old,我去我存了好多这种,mood_humor,scene_universal,style_colloquial,purpose_interact,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
97,old,我的幸福是和好朋友见面 和你牵手 一起吃裹满坚果碎的冰淇淋 又或是跑去海边看凌晨五点的日出 感知到幸福的每一刻我都很开心 我想我的快乐能久一点,mood_happy,scene_social,style_essay,purpose_share_life,theme_happiness|theme_friendship|theme_love,relation_friend,length_medium,4,,rating_clean,好朋友|牵手|冰淇淋|海边|日出,v1.0,True,,
98,old,"“乖乖,挑一句去发朋友圈吧!”",mood_healing,scene_universal,style_quote|style_colloquial,purpose_interact,,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,朋友圈,v1.0,True,,
99,old,今年一定会大幸福特幸福,mood_energetic,scene_universal,style_colloquial,purpose_heal_self,theme_happiness,relation_none,length_ultra_short,4,,rating_clean,幸福,v1.0,True,,
100,old,"幸福有个小名,叫做普通的一天~",mood_healing,scene_universal,style_minimal,purpose_heal_self,theme_happiness,relation_none,length_ultra_short,2,,rating_clean,幸福|普通的一天,v1.0,True,,
101,old,一拍即合的即拍,mood_happy,scene_daily,style_minimal,purpose_share_life,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
102,old,过了时效的照片这样发📸,mood_peaceful,scene_daily,style_minimal|style_emoji_heavy,purpose_share_life,,relation_none,length_ultra_short,2,format_has_emoji,rating_clean,照片,v1.0,True,,
103,old,欧阳娜娜的标题真的很适合拿来发日常☽ ⭒ ̊.⋆,mood_healing,scene_daily,style_symbol_deco,purpose_share_life,,relation_none,length_short,2,format_has_emoji,rating_clean,日常,v1.0,True,,
104,old,◾️幸福就在我们指尖,mood_healing,scene_universal,style_symbol_deco|style_minimal,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,2,,rating_clean,幸福,v1.0,True,,
105,old,欧阳娜娜的标题真的很适合拿来发日常⊹꙳🎻,mood_healing,scene_daily,style_symbol_deco,purpose_share_life,,relation_none,length_short,2,format_has_emoji,rating_clean,日常,v1.0,True,,
106,old,"突然意识到让人幸福的事情,都有一个共性:",mood_reflective,scene_universal,style_essay,purpose_show_mood,theme_happiness|theme_philosophy,relation_none,length_short,3,,rating_clean,幸福,v1.0,True,,
107,old,“爱我的自然珍重”,mood_peaceful,scene_universal,style_quote,purpose_show_mood,theme_love,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,,v1.0,True,,
108,old,幸福 淡淡的...^ω^,mood_peaceful,scene_universal,style_minimal|style_emoji_heavy,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,2,,rating_clean,幸福,v1.0,True,,id=108: 标了 style_emoji_heavy 但文本无明显 emoji
109,old,👋🏻Hellooooo.ᐟ.ᐟ啊姐妹们~,mood_happy,scene_social,style_colloquial|style_emoji_heavy,purpose_interact,,relation_friend,length_short,4,format_has_emoji|format_has_english,rating_clean,姐妹,v1.0,True,,
110,old,🍩欢迎加入我的朋友圈🏃🏻,mood_happy,scene_social,style_emoji_heavy|style_colloquial,purpose_interact,,relation_friend,length_ultra_short,4,format_has_emoji,rating_clean,朋友圈,v1.0,True,,
111,old,「我们不如一起去迎接每天的课堂与朝阳吧~」,mood_energetic,scene_study,style_quote,purpose_share_life,theme_growth,relation_friend,length_short,3,format_has_quotes,rating_clean,课堂|朝阳,v1.0,True,,
112,old,收藏了好多零零散散的都要找不到了,mood_emo,scene_daily,style_colloquial,purpose_complain,,relation_none,length_short,2,,rating_clean,收藏,v1.0,True,,
113,old,✏️📙可以自用喔|✋🏻勿搬运二改,mood_peaceful,scene_daily,style_symbol_deco,purpose_share_life,,relation_none,length_short,2,format_has_emoji,rating_clean,,v1.0,True,,
114,old,拍下幸福瞬间这样我也站在幸福里🎠,mood_happy,scene_daily,style_emoji_heavy,purpose_share_life,theme_happiness,relation_none,length_short,3,format_has_emoji,rating_clean,幸福,v1.0,True,,
115,old,“总有同频共振  总有不谋而合”,mood_healing,scene_universal,style_quote,purpose_show_mood,theme_friendship,relation_friend,length_short,2,format_has_quotes,rating_clean,,v1.0,True,,
116,old,一重山有一重山的错落 我有我的平仄,mood_literary,scene_universal,style_poetic,purpose_show_mood,theme_self_love|theme_philosophy,relation_solo,length_short,2,,rating_clean,山,v1.0,True,,
117,old,“祝你找到自己的频率”,mood_healing,scene_universal,style_quote,purpose_show_mood,theme_freedom,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,,v1.0,True,,
118,old,满是家的温度,mood_healing,scene_home,style_minimal,purpose_show_mood,theme_family,relation_family,length_ultra_short,2,,rating_clean,家,v1.0,True,,
119,old,想收藏infp喜欢的文字.,mood_literary,scene_universal,style_minimal,purpose_show_mood,,relation_solo,length_ultra_short,2,format_has_english,rating_clean,文字,v1.0,True,,
120,old,"""人和人之间的滤镜",mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,滤镜,v1.0,True,,
121,old,时过境迁仍然怀念才最珍贵,mood_reflective,scene_universal,style_minimal,purpose_show_mood,theme_nostalgia,relation_none,length_ultra_short,2,,rating_clean,怀念,v1.0,True,,
122,old,“人生就是在活每一个瞬间了.”,mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,人生|瞬间,v1.0,True,,
123,old,"与你共度的日子里,爱与自由总是同时出现",mood_romantic,scene_universal,style_essay,purpose_subtle_love,theme_love|theme_freedom,relation_couple,length_short,3,,rating_clean,爱|自由,v1.0,True,,
124,old,“我无限地爱着新的一日.”,mood_energetic,scene_universal,style_quote,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,新的一日,v1.0,True,,
125,old,不错的最近,mood_happy,scene_daily,style_minimal,purpose_share_life,,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
126,old,煎和熬都是变美味的方式,mood_humor,scene_food,style_minimal,purpose_show_mood,theme_foodie|theme_philosophy,relation_none,length_ultra_short,3,,rating_clean,煎|熬,v1.0,True,,
127,old,祝我们都无限拥有感知细碎幸福的能力,mood_healing,scene_universal,style_essay,purpose_heal_self,theme_happiness,relation_none,length_short,3,,rating_clean,幸福,v1.0,True,,
128,old,WeChat|真的好喜欢我的朋友圈阿!,mood_happy,scene_daily,style_cn_en_mix|style_colloquial,purpose_share_life,,relation_none,length_short,4,format_has_english,rating_clean,朋友圈,v1.0,True,,
129,old,你永远胜过别人,mood_romantic,scene_universal,style_minimal,purpose_subtle_love,theme_love,relation_couple,length_ultra_short,3,,rating_clean,,v1.0,True,,
130,old,“我喜欢任何一个我.”,mood_energetic,scene_universal,style_quote,purpose_show_mood,theme_self_love,relation_solo,length_ultra_short,3,format_has_quotes,rating_clean,,v1.0,True,,
131,old,我希望我平静,mood_peaceful,scene_universal,style_minimal,purpose_show_mood,,relation_solo,length_ultra_short,1,,rating_clean,平静,v1.0,True,,
132,old,有写随笔的习惯,mood_peaceful,scene_daily,style_minimal,purpose_share_life,,relation_solo,length_ultra_short,2,,rating_clean,随笔,v1.0,True,,
133,old,我喜欢淡淡的生活 淡淡的情绪 淡淡的心情和简略的语言 就像雨滴落在地面没有任何痕迹 我喜欢这样平静的生活 淡淡的就会减少很多的痛苦 淡淡的就会顺顺的🧺,mood_peaceful,scene_universal,style_essay|style_emoji_heavy,purpose_show_mood,theme_self_love,relation_solo,length_medium,2,format_has_emoji,rating_clean,生活|情绪|雨,v1.0,True,,
134,old,名为明天的奇迹ᕀ𓂋᜔˖,mood_healing,scene_universal,style_symbol_deco,purpose_show_mood,theme_happiness,relation_none,length_ultra_short,2,,rating_clean,明天,v1.0,True,,
135,old,“星期八的第25小时”,mood_humor,scene_universal,style_quote|style_abstract,purpose_show_mood,,relation_none,length_ultra_short,3,format_has_quotes,rating_clean,星期八,v1.0,True,,
136,old,“听听时间怎么说”,mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,时间,v1.0,True,,
137,old,想了半天漂亮话 发现最漂亮的是你,mood_romantic,scene_universal,style_essay,purpose_subtle_love,theme_love,relation_couple,length_short,3,,rating_clean,,v1.0,True,,
138,old,适合长时间不发动态的你,mood_peaceful,scene_daily,style_minimal,purpose_share_life,,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
139,old,被爱好似有靠山,mood_healing,scene_universal,style_minimal,purpose_show_mood,theme_love,relation_couple,length_ultra_short,3,,rating_mild_slang,靠山,v1.0,True,,
140,old,plog:✍🏻️去爱具体又普通的日子✧>ᴗo⸝⸝🧀,mood_healing,scene_daily,style_symbol_deco|style_emoji_heavy,purpose_share_life,theme_happiness,relation_none,length_short,2,format_has_emoji|format_has_english|format_photo_dump,rating_clean,日子,v1.0,True,,
