id,text,tags
53,"没有边角料 都是主旋律","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
54,"“在某个时刻 🕒”","{""mood"": [""mood_literary""], ""scene"": [""scene_universal""], ""style"": [""style_quote"", ""style_symbol_deco""], ""purpose"": [""purpose_show_mood""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
55,"生日好像只有24小时有效","{""mood"": [""mood_reflective""], ""scene"": [""scene_holiday""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_nostalgia""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""生日""]}"
56,"会一直更新哒٩(● ́৺`●)૭٩(● ́৺`●)و","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_interact""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": []}"
57,"♡約會日.ᐟ.ᐟ.ᐟ","{""mood"": [""mood_romantic""], ""scene"": [""scene_social""], ""style"": [""style_symbol_deco"", ""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""约会""]}"
58,"我不用再频繁的化妆了 因为你已经爱我的全部了","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love"", ""theme_self_love""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""化妆""]}"
59,"这样我将无比幸福( ́ᴗ ·̫ ᴗ`)","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
60,"“以春为饵 去垂钓新生","{""mood"": [""mood_literary""], ""scene"": [""scene_nature""], ""style"": [""style_quote"", ""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring"", ""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""春天"", ""新生""]}"
61,"是某天某時某一瞬間的幸福","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
62,"当我睁开眼 六月的阳光连同幸福穿过我瞳孔","{""mood"": [""mood_happy""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness"", ""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""六月"", ""阳光"", ""幸福""]}"
63,"🚖‬‎ 🚘duud‬‎du  ᐝ  逛逛 MUJI ⋆ ゚","{""mood"": [""mood_happy""], ""scene"": [""scene_food""], ""style"": [""style_symbol_deco"", ""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_foodie""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""MUJI""]}"
64,"叶脉是春天的薄荷色信封","{""mood"": [""mood_literary""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""叶脉"", ""春天"", ""薄荷""]}"
65,"我真的很擅长让自己感到幸福","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_self_love"", ""theme_happiness""], ""relation"": ""relation_solo"", ""tone_level"": 3, ""keywords"": [""幸福""]}"
66,"“幸福来敲门 我问待多久 幸福说不走.”","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
67,"⌯>ᴗo⌯ಣ","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_show_mood""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
68,"我爱我缓慢向上的勇气","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_self_love"", ""theme_growth""], ""relation"": ""relation_solo"", ""tone_level"": 3, ""keywords"": [""勇气""]}"
69,"我与世界,都是帧帧瞬间。","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""世界"", ""瞬间""]}"
70,"普通人 普通生活 普通过","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""普通人"", ""普通生活""]}"
71,"🍻 vibin' with my ride or dies","{""mood"": [""mood_happy""], ""scene"": [""scene_social""], ""style"": [""style_cn_en_mix"", ""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_friendship""], ""relation"": ""relation_friend"", ""tone_level"": 4, ""keywords"": []}"
72,"你们的生命不会呐喊吗","{""mood"": [""mood_mysterious""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""生命""]}"
73,"“让自由在幸福的地方停下.”","{""mood"": [""mood_literary""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_freedom"", ""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""自由"", ""幸福""]}"
74,"▫️早春不过一棵树","{""mood"": [""mood_literary""], ""scene"": [""scene_nature""], ""style"": [""style_symbol_deco"", ""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""早春"", ""树""]}"
75,"关于家,那些充满「爱与支持」「我们」「生活」的故事。","{""mood"": [""mood_healing""], ""scene"": [""scene_home""], ""style"": [""style_essay""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_family"", ""theme_happiness""], ""relation"": ""relation_family"", ""tone_level"": 3, ""keywords"": [""家"", ""爱"", ""支持"", ""生活""]}"
76,"我的幸福是和好朋友见面 和你牵手 一起吃裹满坚果碎的冰淇淋 又或是跑去海边看凌晨五点的日出 感知到幸福的每一刻我都很开心 我想我的快乐能久一点","{""mood"": [""mood_happy""], ""scene"": [""scene_social""], ""style"": [""style_essay""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness"", ""theme_friendship"", ""theme_love""], ""relation"": ""relation_friend"", ""tone_level"": 4, ""keywords"": [""好朋友"", ""牵手"", ""冰淇淋"", ""海边"", ""日出""]}"
77,"今年一定会大幸福特幸福","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""幸福""]}"
78,"“爱我的自然珍重”","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
79,"幸福 淡淡的...^ω^","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal"", ""style_emoji_heavy""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
80,"👋🏻Hellooooo.ᐟ.ᐟ啊姐妹们~","{""mood"": [""mood_happy""], ""scene"": [""scene_social""], ""style"": [""style_colloquial"", ""style_emoji_heavy""], ""purpose"": [""purpose_interact""], ""theme"": [], ""relation"": ""relation_friend"", ""tone_level"": 4, ""keywords"": [""姐妹""]}"
81,"「我们不如一起去迎接每天的课堂与朝阳吧~」","{""mood"": [""mood_energetic""], ""scene"": [""scene_study""], ""style"": [""style_quote""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_growth""], ""relation"": ""relation_friend"", ""tone_level"": 3, ""keywords"": [""课堂"", ""朝阳""]}"
82,"拍下幸福瞬间这样我也站在幸福里🎠","{""mood"": [""mood_happy""], ""scene"": [""scene_daily""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""幸福""]}"
83,"“总有同频共振  总有不谋而合”","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_friendship""], ""relation"": ""relation_friend"", ""tone_level"": 2, ""keywords"": []}"
84,"一重山有一重山的错落 我有我的平仄","{""mood"": [""mood_literary""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love"", ""theme_philosophy""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": [""山""]}"
85,"“祝你找到自己的频率”","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_freedom""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
86,"满是家的温度","{""mood"": [""mood_healing""], ""scene"": [""scene_home""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_family""], ""relation"": ""relation_family"", ""tone_level"": 2, ""keywords"": [""家""]}"
87,"""人和人之间的滤镜","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""滤镜""]}"
88,"时过境迁仍然怀念才最珍贵","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_nostalgia""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""怀念""]}"
89,"“人生就是在活每一个瞬间了.”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""人生"", ""瞬间""]}"
90,"与你共度的日子里,爱与自由总是同时出现","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love"", ""theme_freedom""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""爱"", ""自由""]}"
91,"“我无限地爱着新的一日.”","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""新的一日""]}"
92,"煎和熬都是变美味的方式","{""mood"": [""mood_humor""], ""scene"": [""scene_food""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_foodie"", ""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""煎"", ""熬""]}"
93,"祝我们都无限拥有感知细碎幸福的能力","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""幸福""]}"
94,"“我喜欢任何一个我.”","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 3, ""keywords"": []}"
